Year,Month,Abs_Temp
1874,3,12.426
1874,4,13.603
1874,5,14.725
1874,6,15.298
1874,7,15.647
1874,8,15.568
1874,9,15.004
1874,10,13.929
1874,11,12.812000000000001
1874,12,12.17
1875,1,11.745000000000001
1875,2,12.065999999999999
1875,3,12.596
1875,4,13.587
1875,5,14.647
1875,6,15.357000000000001
1875,7,15.695
1875,8,15.49
1875,9,14.895999999999999
1875,10,14.066
1875,11,12.67
1875,12,12.018
1876,1,11.826
1876,2,12.157
1876,3,12.766
1876,4,13.701
1876,5,14.411999999999999
1876,6,15.308
1876,7,15.743
1876,8,15.429
1876,9,14.811
1876,10,13.981
1876,11,12.751000000000001
1876,12,11.9
1877,1,11.946000000000002
1877,2,12.337
1877,3,13.110000000000001
1877,4,13.857000000000001
1877,5,14.866
1877,6,15.571
1877,7,16.033
1877,8,15.958
1877,9,15.321
1877,10,14.427
1877,11,13.436
1877,12,12.391
1878,1,12.192
1878,2,12.834
1878,3,13.619
1878,4,14.274000000000001
1878,5,14.866999999999999
1878,6,15.735000000000001
1878,7,16.036
1878,8,15.812
1878,9,15.147
1878,10,14.192
1878,11,13.249
1878,12,12.364
1879,1,12.103000000000002
1879,2,12.206
1879,3,12.982000000000001
1879,4,13.678
1879,5,14.673
1879,6,15.439
1879,7,15.697
1879,8,15.488
1879,9,14.850999999999999
1879,10,14.148
1879,11,12.943
1879,12,11.986
1880,1,11.815000000000001
1880,2,11.911999999999999
1880,3,12.769
1880,4,13.627
1880,5,14.703999999999999
1880,6,15.332
1880,7,15.641
1880,8,15.547
1880,9,14.780999999999999
1880,10,13.924
1880,11,13.049000000000001
1880,12,12.242
1881,1,12.116000000000001
1881,2,12.237
1881,3,12.986
1881,4,13.969000000000001
1881,5,14.868
1881,6,15.296000000000001
1881,7,15.763
1881,8,15.607
1881,9,14.87
1881,10,13.994
1881,11,12.843
1881,12,12.259
1882,1,12.290000000000001
1882,2,12.433
1882,3,12.943
1882,4,13.695
1882,5,14.684
1882,6,15.301
1882,7,15.564
1882,8,15.556
1882,9,14.972
1882,10,13.886
1882,11,12.815000000000001
1882,12,11.877
1883,1,11.799000000000001
1883,2,12.004
1883,3,12.956000000000001
1883,4,13.647
1883,5,14.703999999999999
1883,6,15.518
1883,7,15.65
1883,8,15.398
1883,9,14.818999999999999
1883,10,13.995
1883,11,12.731
1883,12,12.204
1884,1,11.958
1884,2,12.232
1884,3,12.543000000000001
1884,4,13.425
1884,5,14.35
1884,6,15.132
1884,7,15.363
1884,8,15.271
1884,9,14.638
1884,10,13.771
1884,11,12.627
1884,12,12.031
1885,1,11.530000000000001
1885,2,11.95
1885,3,12.679
1885,4,13.461
1885,5,14.398
1885,6,15.069
1885,7,15.563
1885,8,15.313
1885,9,14.76
1885,10,13.949
1885,11,12.818
1885,12,12.304
1886,1,11.557
1886,2,11.78
1886,3,12.517000000000001
1886,4,13.577
1886,5,14.613
1886,6,15.172
1886,7,15.63
1886,8,15.304
1886,9,14.68
1886,10,13.784
1886,11,12.657
1886,12,12.09
1887,1,11.257000000000001
1887,2,11.714
1887,3,12.577
1887,4,13.597000000000001
1887,5,14.469
1887,6,15.151
1887,7,15.557
1887,8,15.193999999999999
1887,9,14.77
1887,10,13.813
1887,11,12.791
1887,12,12.041
1888,1,11.834000000000001
1888,2,11.899
1888,3,12.6
1888,4,13.593
1888,5,14.584999999999999
1888,6,15.322000000000001
1888,7,15.671
1888,8,15.472
1888,9,14.878
1888,10,14.167
1888,11,13.07
1888,12,12.368
1889,1,12.086
1889,2,12.67
1889,3,13.108
1889,4,14.045
1889,5,14.792
1889,6,15.456
1889,7,15.758
1889,8,15.46
1889,9,14.826
1889,10,13.961
1889,11,12.743
1889,12,12.148
1890,1,11.759
1890,2,11.999
1890,3,12.495000000000001
1890,4,13.576
1890,5,14.453999999999999
1890,6,15.18
1890,7,15.482
1890,8,15.274000000000001
1890,9,14.708
1890,10,13.955
1890,11,12.562000000000001
1890,12,12.107000000000001
1891,1,11.717
1891,2,11.826
1891,3,12.824
1891,4,13.608
1891,5,14.673
1891,6,15.285
1891,7,15.568999999999999
1891,8,15.444
1891,9,14.907
1891,10,13.912
1891,11,12.738
1891,12,12.379
1892,1,11.941
1892,2,12.253
1892,3,12.613000000000001
1892,4,13.5
1892,5,14.545
1892,6,15.364
1892,7,15.456
1892,8,15.314
1892,9,14.778
1892,10,13.995
1892,11,12.487
1892,12,11.984
1893,1,11.316
1893,2,11.818
1893,3,12.769
1893,4,13.631
1893,5,14.556
1893,6,15.356
1893,7,15.754
1893,8,15.488
1893,9,14.834999999999999
1893,10,14.039
1893,11,12.901
1893,12,12.097000000000001
1894,1,11.681000000000001
1894,2,12.0
1894,3,12.739
1894,4,13.472000000000001
1894,5,14.552
1894,6,15.193
1894,7,15.64
1894,8,15.473
1894,9,14.834999999999999
1894,10,14.033
1894,11,12.823
1894,12,12.157
1895,1,11.741000000000001
1895,2,11.969
1895,3,12.634
1895,4,13.698
1895,5,14.626
1895,6,15.368
1895,7,15.697
1895,8,15.448
1895,9,14.847
1895,10,14.026
1895,11,13.027000000000001
1895,12,12.279
1896,1,11.986
1896,2,12.155999999999999
1896,3,12.601
1896,4,13.544
1896,5,14.674999999999999
1896,6,15.516
1896,7,15.814
1896,8,15.634
1896,9,15.001999999999999
1896,10,14.219
1896,11,12.952
1896,12,12.377
1897,1,12.046000000000001
1897,2,12.152
1897,3,12.759
1897,4,13.917
1897,5,14.934
1897,6,15.488
1897,7,15.728
1897,8,15.544
1897,9,14.932
1897,10,14.056
1897,11,12.904
1897,12,12.222000000000001
1898,1,12.059000000000001
1898,2,11.937999999999999
1898,3,12.436
1898,4,13.584
1898,5,14.556999999999999
1898,6,15.427
1898,7,15.577
1898,8,15.381
1898,9,14.780999999999999
1898,10,13.772
1898,11,12.676
1898,12,12.07
1899,1,11.983
1899,2,11.940999999999999
1899,3,12.626000000000001
1899,4,13.77
1899,5,14.735
1899,6,15.284
1899,7,15.649
1899,8,15.582
1899,9,15.062999999999999
1899,10,14.169
1899,11,13.247
1899,12,12.208
1900,1,11.781
1900,2,12.427
1900,3,13.087
1900,4,13.855
1900,5,14.869
1900,6,15.501000000000001
1900,7,15.743
1900,8,15.574
1900,9,15.036999999999999
1900,10,14.292
1900,11,13.018
1900,12,12.35
1901,1,11.927000000000001
1901,2,12.334999999999999
1901,3,13.029
1901,4,13.939
1901,5,14.777
1901,6,15.428
1901,7,15.663
1901,8,15.56
1901,9,14.9
1901,10,13.964
1901,11,12.927
1901,12,12.223
1902,1,11.925
1902,2,12.363
1902,3,12.664
1902,4,13.648
1902,5,14.556999999999999
1902,6,15.302
1902,7,15.611
1902,8,15.404
1902,9,14.812
1902,10,13.835
1902,11,12.677
1902,12,11.973
1903,1,11.954
1903,2,12.273
1903,3,12.757
1903,4,13.486
1903,5,14.481
1903,6,15.107000000000001
1903,7,15.465
1903,8,15.193999999999999
1903,9,14.568999999999999
1903,10,13.696
1903,11,12.675
1903,12,11.954
1904,1,11.545000000000002
1904,2,11.773
1904,3,12.554
1904,4,13.433
1904,5,14.397
1904,6,15.146
1904,7,15.389
1904,8,15.244
1904,9,14.576
1904,10,13.765
1904,11,12.954
1904,12,12.143
1905,1,11.873000000000001
1905,2,11.812
1905,3,12.737
1905,4,13.603
1905,5,14.651
1905,6,15.327
1905,7,15.562
1905,8,15.474
1905,9,14.841
1905,10,13.946
1905,11,13.056000000000001
1905,12,12.214
1906,1,11.874
1906,2,12.11
1906,3,12.931000000000001
1906,4,13.947000000000001
1906,5,14.655999999999999
1906,6,15.403
1906,7,15.595
1906,8,15.477
1906,9,14.849
1906,10,14.079
1906,11,12.835
1906,12,12.311
1907,1,11.797
1907,2,11.868
1907,3,12.766
1907,4,13.627
1907,5,14.427999999999999
1907,6,15.174
1907,7,15.51
1907,8,15.323
1907,9,14.770999999999999
1907,10,14.02
1907,11,12.683
1907,12,12.014000000000001
1908,1,11.763000000000002
1908,2,12.157
1908,3,12.453000000000001
1908,4,13.489
1908,5,14.645
1908,6,15.328000000000001
1908,7,15.565
1908,8,15.266
1908,9,14.814
1908,10,13.776
1908,11,12.566
1908,12,11.914
1909,1,11.440000000000001
1909,2,11.937
1909,3,12.477
1909,4,13.423
1909,5,14.431999999999999
1909,6,15.169
1909,7,15.41
1909,8,15.406
1909,9,14.704
1909,10,13.805
1909,11,12.821
1909,12,11.993
1910,1,11.825000000000001
1910,2,11.959
1910,3,12.517000000000001
1910,4,13.538
1910,5,14.59
1910,6,15.242
1910,7,15.508
1910,8,15.352
1910,9,14.75
1910,10,13.863
1910,11,12.611
1910,12,11.747
1911,1,11.524000000000001
1911,2,11.782
1911,3,12.432
1911,4,13.48
1911,5,14.421999999999999
1911,6,15.164
1911,7,15.449
1911,8,15.297
1911,9,14.698
1911,10,14.003
1911,11,12.923
1911,12,12.212
1912,1,11.999
1912,2,12.235
1912,3,12.623000000000001
1912,4,13.818
1912,5,14.695
1912,6,15.441
1912,7,15.429
1912,8,15.179
1912,9,14.516
1912,10,13.617
1912,11,12.745000000000001
1912,12,11.977
1913,1,11.674000000000001
1913,2,11.940999999999999
1913,3,12.613000000000001
1913,4,13.634
1913,5,14.53
1913,6,15.181000000000001
1913,7,15.502
1913,8,15.401
1913,9,14.763
1913,10,13.906
1913,11,12.937000000000001
1913,12,12.488
1914,1,12.217
1914,2,12.196
1914,3,12.726
1914,4,13.668000000000001
1914,5,14.731
1914,6,15.43
1914,7,15.636
1914,8,15.552
1914,9,14.919
1914,10,14.235
1914,11,13.052
1914,12,12.449
1915,1,11.974
1915,2,12.304
1915,3,13.037
1915,4,14.064
1915,5,14.965
1915,6,15.467
1915,7,15.725999999999999
1915,8,15.64
1915,9,14.972999999999999
1915,10,13.969
1915,11,13.109
1915,12,12.219000000000001
1916,1,12.044
1916,2,12.262
1916,3,12.778
1916,4,13.656
1916,5,14.625
1916,6,15.285
1916,7,15.584999999999999
1916,8,15.398
1916,9,14.783
1916,10,13.87
1916,11,12.714
1916,12,11.681000000000001
1917,1,11.543000000000001
1917,2,11.766
1917,3,12.373000000000001
1917,4,13.46
1917,5,14.383
1917,6,15.173
1917,7,15.643
1917,8,15.443
1917,9,14.818999999999999
1917,10,13.753
1917,11,12.755
1917,12,11.746
1918,1,11.686
1918,2,11.915
1918,3,12.632
1918,4,13.466000000000001
1918,5,14.472
1918,6,15.284
1918,7,15.566
1918,8,15.358
1918,9,14.971
1918,10,14.221
1918,11,13.032
1918,12,12.194
1919,1,12.007000000000001
1919,2,12.203999999999999
1919,3,12.783000000000001
1919,4,13.875
1919,5,14.713999999999999
1919,6,15.329
1919,7,15.604
1919,8,15.47
1919,9,14.829
1919,10,13.972
1919,11,12.675
1919,12,12.074
1920,1,12.039000000000001
1920,2,12.100999999999999
1920,3,12.959
1920,4,13.804
1920,5,14.706999999999999
1920,6,15.404
1920,7,15.667
1920,8,15.515
1920,9,14.974
1920,10,14.113
1920,11,12.954
1920,12,11.997
1921,1,12.086
1921,2,12.232
1921,3,12.762
1921,4,13.705
1921,5,14.635
1921,6,15.506
1921,7,15.779
1921,8,15.475
1921,9,15.02
1921,10,14.216
1921,11,13.105
1921,12,12.364
1922,1,11.940000000000001
1922,2,12.033
1922,3,12.923
1922,4,13.863
1922,5,14.578999999999999
1922,6,15.392
1922,7,15.705
1922,8,15.39
1922,9,14.81
1922,10,13.909
1922,11,12.99
1922,12,12.319
1923,1,11.912
1923,2,12.033999999999999
1923,3,12.681000000000001
1923,4,13.698
1923,5,14.66
1923,6,15.438
1923,7,15.555
1923,8,15.434
1923,9,14.84
1923,10,14.226
1923,11,13.271
1923,12,12.499
1924,1,11.955
1924,2,12.193
1924,3,13.005
1924,4,13.72
1924,5,14.793
1924,6,15.426
1924,7,15.672
1924,8,15.446
1924,9,14.854
1924,10,13.937
1924,11,13.02
1924,12,12.131
1925,1,11.792000000000002
1925,2,11.974
1925,3,12.794
1925,4,13.741
1925,5,14.780999999999999
1925,6,15.394
1925,7,15.646
1925,8,15.601
1925,9,14.977
1925,10,14.118
1925,11,13.217
1925,12,12.65
1926,1,12.441
1926,2,12.422
1926,3,13.187000000000001
1926,4,13.903
1926,5,14.754
1926,6,15.464
1926,7,15.701
1926,8,15.647
1926,9,15.083
1926,10,14.287
1926,11,13.193
1926,12,12.269
1927,1,11.977
1927,2,12.27
1927,3,12.688
1927,4,13.749
1927,5,14.777
1927,6,15.403
1927,7,15.73
1927,8,15.59
1927,9,15.077
1927,10,14.334
1927,11,13.181000000000001
1927,12,12.233
1928,1,12.333
1928,2,12.421
1928,3,12.843
1928,4,13.796000000000001
1928,5,14.66
1928,6,15.292
1928,7,15.735
1928,8,15.533
1928,9,14.93
1928,10,14.122
1928,11,13.110000000000001
1928,12,12.342
1929,1,11.814
1929,2,11.914
1929,3,12.665000000000001
1929,4,13.614
1929,5,14.525
1929,6,15.237
1929,7,15.503
1929,8,15.473
1929,9,14.927
1929,10,14.138
1929,11,13.1
1929,12,12.0
1930,1,12.0
1930,2,12.167
1930,3,12.957
1930,4,13.795
1930,5,14.741
1930,6,15.456
1930,7,15.788
1930,8,15.645
1930,9,15.062
1930,10,14.202
1930,11,13.366
1930,12,12.476
1931,1,12.132000000000001
1931,2,12.219999999999999
1931,3,12.99
1931,4,13.829
1931,5,14.763
1931,6,15.605
1931,7,15.919
1931,8,15.752
1931,9,15.137
1931,10,14.344
1931,11,13.202
1931,12,12.491
1932,1,12.332
1932,2,12.27
1932,3,12.967
1932,4,14.039
1932,5,14.891
1932,6,15.445
1932,7,15.76
1932,8,15.559
